force_x_max,force_y_max,force_z_max,vb_x_max,vb_y_max,vb_z_max,ae_rms_max,force_x_median,force_y_median,force_z_median,vb_x_median,vb_y_median,vb_z_median,ae_rms_median,force_x_mean,force_y_mean,force_z_mean,vb_x_mean,vb_y_mean,vb_z_mean,ae_rms_mean,force_x_std,force_y_std,force_z_std,vb_x_std,vb_y_std,vb_z_std,ae_rms_std,flute_1
16.609,38.111,27.55,0.422,0.368,0.42,0.264,6.455,3.746,0.514,0.001,-0.002,-0.001,0.104,6.161663287,4.305543662,3.025696434,0.000803499,-0.002955367,-0.003035151,0.110679829,3.701392996,6.933516829,9.010880829,0.088799275,0.084491245,0.10142768,0.03608901,66.9106077
17.084,39.321,28.012,0.419,0.379,0.425,0.25,6.5215,3.815,0.574,0,-0.004,-0.004,0.105,6.234957868,4.378232333,3.115936597,-0.000688174,-0.004240069,-0.004890805,0.110674218,3.761917807,6.986040553,9.075126626,0.087637949,0.083396965,0.100710699,0.034505414,67.28317974
16.646,38.236,27.408,0.436,0.376,0.43,0.224,6.549,3.92,0.654,0.001,-0.002,-0.001,0.103,6.257247671,4.456038705,3.198761315,0.000985803,-0.002527469,-0.002540386,0.108379988,3.809245193,6.960341784,9.131644114,0.085919731,0.081505296,0.09893831,0.03348048,67.67108395
17.887,39.545,28.259,0.441,0.385,0.454,0.285,6.645,4.009,0.707,-0.001,-0.004,-0.004,0.103,6.35350186,4.538597693,3.296775055,-0.00045858,-0.004352584,-0.004792144,0.109159552,3.895725445,7.024478929,9.279289441,0.085383341,0.080758464,0.099031044,0.035783194,68.07372593
16.983,38.918,27.69,0.462,0.382,0.451,0.272,6.658,4.064,0.777,0,-0.003,-0.002,0.102,6.365942226,4.599610085,3.368907504,0.00057518,-0.003087521,-0.00345079,0.108020216,3.946770914,6.986451677,9.303915259,0.086026382,0.081275486,0.099224615,0.03513853,68.49049008
17.144,39.176,27.878,0.458,0.391,0.428,0.247,6.706,4.135,0.856,-0.001,-0.004,-0.004,0.103,6.439315589,4.679253067,3.465777596,-0.001038216,-0.00504266,-0.005823572,0.10900894,4.002875611,7.029084916,9.38095321,0.087962217,0.083374334,0.101407111,0.035328651,68.92074185
17.419,40.338,28.84,0.429,0.366,0.448,0.254,6.746,4.168,0.908,0.001,-0.002,-0.001,0.102,6.465345693,4.723497673,3.530406669,0.000797582,-0.002583936,-0.002822227,0.108891031,4.049946852,7.033029965,9.419695541,0.089199352,0.084608134,0.102257878,0.035531972,69.36383003
17.549,39.645,28.334,0.441,0.374,0.452,0.248,6.777,4.275,0.949,-0.001,-0.004,-0.003,0.102,6.505793839,4.821262392,3.617374641,-0.000465383,-0.0042822,-0.004777215,0.108303489,4.116028377,7.049977759,9.481656163,0.088595447,0.083997353,0.101840644,0.035140129,69.8190889
17.467,39.652,30.435,0.465,0.356,0.435,0.243,6.854,4.271,0.993,0,-0.004,-0.003,0.099,6.588234871,4.813500105,3.695032594,8.59E-05,-0.003817131,-0.004278702,0.105840296,4.192617303,7.102623694,9.626026064,0.087367488,0.082495432,0.101015184,0.034178235,70.28584028
17.772,41.766,29.83,0.442,0.378,0.445,0.254,6.882,4.357,1.056,0.001,-0.003,-0.001,0.101,6.628612023,4.901350329,3.752619348,0.000416001,-0.00275636,-0.003095414,0.107606385,4.235038845,7.098614041,9.658160027,0.086164365,0.081126149,0.099846024,0.035118505,70.76339554
17.818,39.155,28.574,0.393,0.355,0.44,0.274,6.809,4.395,1.1,0,-0.003,-0.002,0.1,6.573821096,4.962443381,3.813335802,0.000142551,-0.003500532,-0.003741934,0.104972814,4.333398509,6.860260626,9.610507485,0.084556028,0.079914672,0.099044742,0.036753443,71.25105747
18.223,42.372,30.502,0.428,0.383,0.414,0.266,6.935,4.498,1.186,-0.001,-0.004,-0.003,0.101,6.708794504,5.060965548,3.924247483,-0.000662057,-0.004572174,-0.005014403,0.107645706,4.369344782,7.114656058,9.809381117,0.087637543,0.08267858,0.101364695,0.036607091,71.74812216
18.337,40.912,29.786,0.494,0.349,0.463,0.271,6.971,4.562,1.204,0,-0.004,-0.002,0.099,6.746921872,5.111457223,3.990566936,4.49E-05,-0.003889996,-0.004192197,0.106057457,4.452454558,7.090128498,9.872381637,0.08939474,0.084328089,0.102730389,0.035824346,72.25388071
19.128,40.278,29.89,0.487,0.357,0.406,0.299,7.022,4.657,1.266,-0.001,-0.005,-0.004,0.101,6.795030307,5.223332534,4.075804723,-0.001148498,-0.005016052,-0.006009475,0.108614941,4.504984308,7.114569105,9.909776776,0.089013428,0.083934114,0.102515885,0.038566897,72.76762093
18.947,42.792,31.177,0.439,0.326,0.449,0.282,7.008,4.692,1.327,0,-0.004,-0.002,0.102,6.807922976,5.259628538,4.14273887,1.40E-05,-0.004035299,-0.004229482,0.109410712,4.605070941,7.154529714,9.979885048,0.087248775,0.082358169,0.101279475,0.038387742,73.28862893
19.14,42.092,31.041,0.452,0.342,0.407,0.284,7.056,4.721,1.383,0,-0.004,-0.003,0.102,6.865636434,5.298496465,4.211114427,-0.000217249,-0.003944233,-0.004787255,0.110768716,4.655158555,7.163107353,10.07093448,0.085722308,0.080880068,0.100120189,0.039316674,73.81619066
19.7,42.085,30.584,0.44,0.422,0.425,0.266,7.035,4.884,1.507,0.001,-0.003,-0.001,0.098,6.871272035,5.440244268,4.315810147,0.000679092,-0.003162569,-0.00332252,0.106340522,4.71217316,7.14223896,10.05308737,0.085608299,0.080812178,0.099838174,0.038063945,74.3495934
19.631,41.886,30.786,0.434,0.366,0.429,0.28,7.121,4.95,1.526,0.002,-0.001,0.001,0.1,6.942003891,5.522101098,4.387802021,0.00162063,-0.00145909,-0.00128463,0.108013297,4.764869632,7.190764105,10.18275619,0.087171605,0.082233049,0.100898248,0.037317395,74.88812711
19.469,41.489,30.693,0.435,0.366,0.415,0.256,7.093,5.005,1.608,-0.001,-0.005,-0.004,0.1,6.941802147,5.591120882,4.456647385,-0.00079742,-0.005387494,-0.006379237,0.107320514,4.823915098,7.14723318,10.1997997,0.088862732,0.084205061,0.102384287,0.037219318,75.4310858
19.872,42.392,31.658,0.394,0.341,0.443,0.25,7.238,5.13,1.75,0,-0.003,-0.002,0.101,7.086557727,5.66427821,4.574843339,0.00022769,-0.003308729,-0.003730891,0.109183101,4.891819342,7.175595625,10.33178071,0.089658753,0.084733616,0.103436363,0.033821959,75.97776878
